Country,CancerSiteICD10Code,CancerSite,Sex,SexQF,Year,DeathsAgeUnder5,DeathsAge5To9,DeathsAge10To14,DeathsAge15To19,DeathsAge20To24,DeathsAge25To29,DeathsAge30To34,DeathsAge35To39,DeathsAge40To44,DeathsAge45To49,DeathsAge50To54,DeathsAge55To59,DeathsAge60To64,DeathsAge65To69,DeathsAge70To74,DeathsAge75To79,DeathsAge80To84,DeathsAge85To89,DeathsAge90AndOver,DeathsAllAges,MortalityRateAgeUnder5,MortalityRateAge5To9,MortalityRateAge10To14,MortalityRateAge15To19,MortalityRateAge20To24,MortalityRateAge25To29,MortalityRateAge30To34,MortalityRateAge35To39,MortalityRateAge40To44,MortalityRateAge45To49,MortalityRateAge50To54,MortalityRateAge55To59,MortalityRateAge60To64,MortalityRateAge65To69,MortalityRateAge70To74,MortalityRateAge75To79,MortalityRateAge80To84,MortalityRateAge85To89,MortalityRateAge90AndOver,CrudeRate,CrudeRateLower95pcConfidenceInterval,CrudeRateUpper95pcConfidenceInterval,EASR,EASRLower95pcConfidenceInterval,EASRLower95pcConfidenceIntervalQF,EASRUpper95pcConfidenceInterval,EASRUpper95pcConfidenceIntervalQF,WASR,WASRLower95pcConfidenceInterval,WASRLower95pcConfidenceIntervalQF,WASRUpper95pcConfidenceInterval,WASRUpper95pcConfidenceIntervalQF,StandardisedMortalityRatio,StandardisedMortalityRatioQF
S92000003,"C00-C97, excluding C44",All cancer types,All,d,1992,14,15,9,11,22,40,62,117,224,412,644,1022,1650,2381,2541,2388,1974,1105,462,15093,4.306870689,4.683650625,2.824521871,3.434280362,5.530514614,9.726372817,15.85369596,33.67371608,65.56609296,127.9590531,229.4207127,376.8853487,623.8303182,980.9899717,1253.39121,1577.382918,1889.591929,2132.669407,2234.150588,296.777974,292.061931,301.5510852,406.5916166,399.4548423, ,413.7907055, ,166.6665716,163.7978973, ,169.5598036, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,1993,8,19,14,16,18,37,59,109,202,401,667,1035,1653,2332,2720,2417,2012,1203,497,15419,2.476948894,5.873878553,4.341260268,5.186032717,4.6659685,9.022805751,14.8172332,30.65060837,60.15933289,119.9406578,235.0031357,378.8031285,628.9930404,965.9874654,1295.923083,1676.993207,1911.348394,2270.496754,2288.424348,302.7809742,298.0204735,307.5984649,412.759496,405.6512387, ,419.9286371, ,168.0317571,165.1693144, ,170.9184501, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,1994,11,15,14,12,19,38,59,103,213,385,657,1049,1570,2321,2748,2221,2038,1158,501,15132,3.413848431,4.603486374,4.353802424,3.917024367,5.111209151,9.349956572,14.58511527,28.21368994,63.64934886,112.3225086,228.1226237,381.5863662,601.7931135,965.5384718,1268.346718,1609.478604,1929.979071,2137.556762,2228.449426,296.5773655,291.8705635,301.34105,403.4954414,396.457348, ,410.5945996, ,164.0192416,161.2008141, ,166.8617563, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,1995,7,10,7,9,18,31,57,87,218,399,644,998,1559,2256,2731,2328,2026,1253,554,15192,2.199003537,3.082794615,2.183017991,2.923606171,5.038065383,7.784563462,13.95779359,23.20649782,64.93429126,113.7620747,221.9939469,362.2018096,600.5577984,938.6585006,1294.797578,1605.362241,1906.733801,2240.420548,2350.345764,297.6669821,292.9521886,302.4386413,401.5006705,394.5945113, ,408.4659116, ,161.9577705,159.1774945, ,164.7617841, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,1996,10,14,10,15,19,26,66,108,177,397,679,1019,1475,2179,2653,2441,2046,1240,546,15120,3.224942999,4.327131112,3.133155997,4.831742616,5.580898055,6.642413342,16.23109139,28.26248521,52.08716508,111.7765145,228.9224462,373.2614405,570.129835,910.9379442,1272.251208,1614.065713,1949.035485,2186.177715,2241.747413,296.9252915,292.2111055,301.6964719,396.4152524,389.6003523, ,403.2884211, ,159.7563522,156.9980533, ,162.538338, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,1997,4,12,6,11,14,25,56,115,196,339,645,1009,1425,2075,2575,2548,1994,1224,565,14838,1.321418543,3.706277508,1.874010288,3.489471313,4.347124067,6.596480118,13.8005816,29.59630638,56.41716463,99.66279285,202.6950586,369.3102792,552.1886044,864.9112789,1249.720936,1608.52493,1955.03613,2122.6047,2259.367377,291.8946992,287.2167264,296.6297671,387.1549526,380.454812, ,393.9127664, ,154.1558453,151.4711152, ,156.8638328, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,1998,10,11,8,14,14,24,53,99,209,364,642,932,1453,2049,2555,2579,1846,1250,596,14708,3.37392161,3.429975491,2.473839151,4.398145239,4.524258102,6.605547008,13.1748703,25.10670349,58.85682584,108.9174681,194.4935896,337.143684,557.7713713,854.5867829,1241.985427,1567.752564,1887.255403,2129.798436,2284.662859,289.6946467,285.031542,294.4149178,378.8740578,372.3242362, ,385.4801979, ,151.7242919,149.0646003, ,154.4071762, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,1999,6,12,8,16,19,27,54,99,175,330,701,989,1376,1958,2550,2739,1819,1249,620,14747,2.066749107,3.768252473,2.464427529,5.036594003,6.181233774,7.802836765,13.61885859,24.80668327,48.19423101,99.22842383,207.3982905,352.2443557,524.4502039,820.245571,1239.603133,1609.623657,1927.887061,2115.479074,2288.245064,290.7560209,286.0819995,295.4872661,378.6556584,372.1269794, ,385.2403239, ,150.0444708,147.4184626, ,152.6933407, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2000,7,7,8,13,14,19,58,103,196,318,600,897,1442,1988,2531,2686,2002,1341,683,14913,2.471637954,2.233980762,2.477669999,4.089387724,4.521890796,5.758064321,14.99742717,25.55463482,52.7869347,95.39351324,173.4790943,316.968971,547.7974137,833.0609542,1225.226795,1616.348833,1993.329019,2258.906763,2413.768731,294.5521772,289.843453,299.3182263,379.3328474,372.8622077, ,385.8583792, ,148.4887822,145.8972705, ,151.1027916, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2001,7,11,9,10,17,20,42,81,202,342,663,1047,1453,1899,2499,2703,2096,1331,705,15137,2.533835757,3.59696939,2.787042112,3.148565041,5.390066425,6.35152516,11.0167691,20.08769145,53.31390807,101.1212035,188.9518728,360.8627619,555.5321907,793.0210804,1206.209153,1632.088687,1974.955008,2240.401286,2399.183257,298.9020971,294.159181,303.7023225,381.4018065,374.9661857, ,387.8914273, ,149.9262838,147.3245864, ,152.5504377, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2002,14,3,12,13,24,21,56,99,181,323,640,998,1477,1941,2471,2563,2182,1257,719,14994,5.18927895,0.998851321,3.714997756,4.080069801,7.426317011,6.968178651,15.10997906,24.58356924,46.86945691,93.30109679,189.9036536,319.9261413,563.3512726,810.103548,1181.10989,1559.135206,1908.210026,2145.01459,2692.178081,295.9731544,291.2544608,300.7491377,376.045114,369.5752058, ,382.5703858, ,147.7012609,145.1178922, ,150.307106, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2003,11,9,10,12,17,22,54,90,168,322,541,1017,1475,1941,2410,2661,2311,1230,762,15063,4.149080224,3.043079867,3.124619187,3.739284613,5.175274366,7.503615378,15.05910699,22.48066663,42.76082192,91.05510814,163.1774049,313.8956706,555.5325391,801.337627,1146.445306,1616.852697,1959.720161,2180.232558,2806.733213,297.1885173,292.4612686,301.9730272,374.2408741,367.8371516, ,380.6990923, ,144.9809951,142.4480833, ,147.535919, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2004,16,9,15,11,16,20,54,96,171,339,535,1027,1359,1969,2449,2567,2351,1223,770,14997,6.066879766,3.082075675,4.703742611,3.410218254,4.846648997,6.778604014,15.6566667,24.19251191,42.84490146,93.6244252,161.9308207,308.5974591,502.2024478,804.7640067,1163.464645,1551.104263,1930.625585,2224.040735,2768.987342,294.9668588,290.264677,299.726124,368.3385489,362.0239666, ,374.7069703, ,142.761725,140.2564865, ,145.2888329, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2005,8,7,12,8,13,24,45,112,206,322,588,1039,1389,1933,2335,2626,2338,1336,746,15087,3.013296169,2.42984685,3.803896458,2.47845295,3.872874388,7.925814377,13.47006951,28.71551894,50.73266839,86.82311005,177.1820817,304.434964,507.9650678,786.2901586,1103.684937,1569.663533,1964.920538,2224.108941,2615.066428,295.2330633,290.540641,299.9822793,363.5900027,357.4359747, ,369.7958289, ,141.0823702,138.6211682, ,143.5649295, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2006,11,7,11,14,19,26,40,95,170,329,567,1005,1357,1857,2371,2644,2322,1421,759,15025,4.106224289,2.471943442,3.543837267,4.307122442,5.614574253,8.329569009,12.43058296,24.57956016,41.6968151,86.86858552,168.4522006,290.1387469,483.6686104,760.0469862,1114.30693,1568.032072,1964.782833,2190.467382,2616.970658,292.7081101,288.0462686,297.4264924,359.0470835,352.9698901, ,365.175429, ,138.0167645,135.5992989, ,140.4552936, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2007,12,4,10,10,19,20,47,82,171,354,554,923,1504,1863,2371,2607,2332,1493,826,15202,4.37474025,1.443897368,3.258390355,3.03729802,5.562533119,6.12463635,15.08344031,21.59025384,41.7949846,91.46010634,160.5559758,277.1613632,496.7975715,758.5937309,1108.612201,1519.159946,1972.076346,2198.109596,2871.345639,294.0425532,289.3866936,298.7545491,357.9460867,351.9139498, ,364.028773, ,136.842927,134.4653936, ,139.2410071, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2008,2,7,10,14,20,19,26,94,173,342,533,940,1445,1898,2378,2527,2356,1627,800,15211,0.709008664,2.571468455,3.291834276,4.253728849,5.768509706,5.646376364,8.482289957,25.41405992,42.42608542,86.53955642,151.1087927,286.8652344,458.7680253,761.0173093,1096.377988,1456.089705,1976.244799,2317.366719,2809.482002,292.356186,287.7283925,297.0397607,351.5135193,345.5863382, ,357.4903996, ,133.6992279,131.3799835, ,136.0384833, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2009,5,8,6,12,8,27,38,67,189,321,571,904,1465,1868,2352,2578,2297,1637,766,15119,1.73900946,2.967546173,1.99902714,3.610662286,2.293873923,7.940125572,12.27969262,18.74214998,46.78461009,79.93525493,158.1248771,277.2665931,453.1296879,735.4214894,1070.745698,1475.014018,1900.939297,2254.541448,2671.689163,288.9772358,284.3890874,293.6208567,343.246577,337.470546, ,349.0709405, ,130.9338706,128.6552086, ,133.2322579, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2010,7,6,1,13,15,22,36,77,167,295,579,884,1495,1825,2316,2624,2463,1586,859,15270,2.40633347,2.225544053,0.338179445,3.917668686,4.240690271,6.41599566,11.40930238,22.19519085,42.09284623,72.22320152,156.8646575,270.1150128,451.233573,710.155417,1047.51825,1481.648786,2000.211147,2215.021927,2659.19574,290.1828133,285.5982703,294.8225086,340.7945965,335.1486129, ,346.4870868, ,128.9448376,126.7083293, ,131.2006408, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2011,9,4,7,14,15,33,40,72,169,334,528,874,1454,1875,2363,2574,2451,1669,890,15375,3.065541272,1.476559616,2.411581101,4.283559393,4.103069096,9.52796168,12.35383865,21.42213204,42.93001138,81.3109071,139.9353859,263.3132886,432.142613,709.1179329,1072.302114,1436.832939,1954.607802,2322.086957,2530.637778,290.0998132,285.5321969,294.722189,338.3544418,332.8033562, ,343.9508045, ,128.3147258,126.0926102, ,130.5559819, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2012,10,5,1,10,8,23,41,72,168,283,583,905,1444,1914,2385,2645,2519,1775,996,15787,3.380776903,1.814243261,0.355141382,3.135425289,2.154377291,6.621906418,12.31464211,22.36101233,43.58304516,68.9796376,151.5439022,266.728756,447.5812326,669.8279935,1076.540446,1464.570679,1958.375769,2454.301596,2698.821298,297.1055405,292.4888256,301.7768718,339.4989584,334.0251818, ,345.0166052, ,127.8032565,125.6139187, ,130.0112471, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2013,10,3,4,15,8,21,46,71,147,309,566,906,1364,2012,2363,2600,2522,1800,997,15764,3.400863139,1.061206875,1.453847608,4.784704257,2.160544673,5.964638216,13.50125767,22.60354653,39.27582853,75.76927887,144.227339,261.5307342,429.8648951,676.5708752,1050.595767,1416.561787,1935.162095,2464.47055,2645.263996,295.8875312,291.286403,300.5431314,334.123722,328.7476009, ,339.542842, ,125.9188022,123.75518, ,128.1009146, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2014,6,8,6,11,9,15,34,63,163,303,545,903,1331,1988,2375,2641,2436,1893,1016,15746,2.0558013,2.770841054,2.206701753,3.568288941,2.442062077,4.195123588,9.89286608,20.00273053,45.1663674,75.05982491,136.7165452,254.6150745,421.4559387,650.5725235,1034.250005,1416.739086,1839.281804,2529.767871,2568.770227,294.4498467,289.8684686,299.085494,326.7788506,321.5366625, ,332.0628399, ,123.0070755,120.8858884, ,125.1464559, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2015,4,4,7,8,11,38,55,61,130,325,588,889,1279,2118,2422,2625,2458,1818,1171,16011,1.37374903,1.36819494,2.572186579,2.631726116,2.991813311,10.442831,15.80914056,19.05434236,37.16143786,82.10844378,145.0802259,245.0250813,403.4725771,676.7746162,1042.500624,1399.48499,1829.672252,2391.727622,2942.580726,297.9899497,293.3918721,302.642039,329.3032606,324.0572317, ,334.5908286, ,123.7152221,121.5991187, ,125.8493268, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2016,3,6,5,9,15,26,44,70,165,321,554,882,1272,2049,2307,2567,2532,1867,1119,15813,1.044430055,2.007615555,1.822303537,3.013460122,4.121252751,6.949567523,12.50309025,21.35754669,48.86890694,81.83535542,136.2213572,237.8506072,395.5814301,645.3055517,965.1952355,1373.858686,1856.060051,2394.265049,2724.815545,292.5786815,288.036034,297.1750247,319.3933499,314.2914091, ,324.5357992, ,120.0009939,117.9278482, ,122.0919538, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2017,7,5,8,10,9,16,42,74,119,280,564,847,1239,1940,2472,2743,2649,1892,1189,16105,2.481336802,1.655897811,2.856153404,3.447800303,2.523772535,4.185764216,11.82832038,21.82549631,36.61166712,72.71405199,138.5582571,223.5500916,376.5831538,635.9279631,952.4910415,1457.012036,1921.054731,2362.312869,2849.610545,296.8773042,292.309732,301.4983719,320.6735812,315.6046638, ,325.7823214, ,118.1056656,116.0752023, ,120.1534906, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,Male, ,1992,6,7,6,7,15,15,19,37,105,183,299,535,893,1371,1401,1287,990,471,124,7771,3.608827191,4.282891074,3.685141509,4.295242712,7.518382445,7.35885712,9.835946762,21.5260203,61.94324819,114.5991847,218.7511431,410.858964,721.7211392,1249.532906,1656.126249,2264.489566,2940.39027,3614.180479,3347.732181,317.7969567,310.7700023,324.9427285,504.8833558,492.5113282, ,517.4067242, ,197.2161982,192.6910759, ,201.7931098, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,Male, ,1993,4,9,6,11,8,16,24,41,88,184,332,567,907,1333,1500,1259,997,501,124,7911,2.426566045,5.442374327,3.643341187,7.039189085,4.131143139,7.877737514,12.21554326,23.38634238,52.81256939,110.7606366,239.9919039,431.2836584,736.4404027,1218.94346,1705.611462,2334.724154,2903.404292,3712.486106,3150.406504,323.1064618,316.0252566,330.3063274,510.1170983,497.8502706, ,522.5311435, ,199.8892524,195.3501987, ,204.479712, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,Male, ,1994,6,7,9,7,10,20,26,32,92,171,301,548,869,1301,1496,1149,958,489,147,7638,3.649057935,4.200168007,5.487771416,4.512664471,5.36595836,9.937542545,13.06907004,17.81380124,55.38898722,100.3762642,213.6479139,414.0254913,709.6078784,1194.334028,1635.795045,2220.890676,2769.906899,3506.130351,3566.229985,311.3304219,304.3871087,318.3921655,493.1408814,481.0211013, ,505.4093573, ,192.0124069,187.5794162, ,196.4964503, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,Male, ,1995,5,6,3,6,10,16,24,29,87,177,324,552,871,1279,1471,1224,999,526,144,7753,3.076676943,3.61269501,1.836176346,3.849979146,5.608493503,8.127851098,11.99940003,15.73137324,52.3191831,101.4576658,227.5904215,415.3936457,712.8767975,1173.879124,1638.869392,2225.454545,2845.343207,3601.999589,3254.972875,316.0164885,309.0208409,323.1305624,493.0778182,481.2223466, ,505.0755507, ,191.8235106,187.4212761, ,196.2761379, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,Male, ,1996,6,6,6,6,12,13,25,40,71,181,363,550,832,1159,1512,1249,992,504,157,7684,3.785226262,3.621570071,3.692148646,3.814197715,7.081317125,6.726132577,12.59357023,21.37448634,42.22119147,102.5693335,248.3052992,417.7045993,682.0342985,1068.675543,1692.676264,2154.971618,2855.415791,3348.837209,3394.594595,314.0145973,307.0322982,321.1156314,484.707836,473.0378383, ,496.5180608, ,188.2654407,183.9155584, ,192.6654583, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,Male, ,1997,2,4,3,5,11,14,23,42,79,149,316,547,744,1185,1462,1296,968,504,167,7521,1.291172255,2.410989289,1.837357145,3.136074262,6.869676001,7.521624671,11.63320014,22.08225113,46.04668784,88.27327986,200.897682,414.1962548,609.8710582,1087.754727,1652.537583,2116.436678,2854.783532,3242.617255,3452.553235,307.9446527,301.0239354,314.9843382,472.2615867,460.8055712, ,483.8563079, ,180.66855,176.4532858, ,184.9328796, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,Male, ,1998,6,9,5,6,9,13,24,38,90,156,330,497,817,1164,1398,1323,842,520,173,7420,3.949499072,5.487671032,3.023980163,3.721114846,5.867741115,7.299843896,12.2728249,19.74631186,51.54550609,94.08358965,201.7768593,371.7138476,660.9604556,1066.774199,1574.732194,2067.090605,2591.885735,3216.62749,3326.283407,304.2241648,297.3409486,311.2265149,458.3799566,447.2432762, ,469.6516898, ,178.0826817,173.8921156, ,182.3224488, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,Male, ,1999,5,6,5,10,12,15,25,40,64,147,354,553,746,1072,1405,1432,835,529,196,7451,3.357823056,3.686522687,3.007482617,6.225525901,7.867511113,8.877893453,12.9761602,20.60793405,35.93910568,89.20335939,211.265084,405.7851907,598.2837437,984.0098401,1576.172313,2146.829978,2646.005641,3210.146247,3548.153512,305.803118,298.8985039,312.826985,458.5770117,447.4768748, ,469.8112527, ,175.4088949,171.2832215, ,179.5829841, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2000,4,7,6,10,3,10,27,40,79,136,290,478,836,1095,1371,1343,932,572,214,7453,2.7499725,4.37000181,3.621526353,6.220336769,1.948304975,6.237369327,14.4274699,20.47847968,43.48424384,82.47972879,169.0183531,346.9500334,667.039017,1000.840889,1529.178192,2040.072306,2717.676561,3425.970292,3600.269179,306.4649171,299.5462838,313.5030294,455.4466377,444.49905, ,466.5255543, ,172.9268471,168.8554893, ,177.0460317, ,100, 
