country_code,country_name
AUS,Australia
AUT,Austria
BEL,Belgium
BGR,Bulgaria
BLR,Belarus
CAN,Canada
CHE,Switzerland
CHL,Chile
HRV,Croatia
CZE,Czech Republic
DEUTE,East Germany
DEUTFRG,West Germany (Federal Republic of Germany)
DEUTGDR,East Germany (German Democratic Republic)
DEUTNP,Germany
DEUTW,West Germany
DNK,Denmark
ESP,Spain
EST,Estonia
FIN,Finland
FRACNP,France (Civilian)
FRATNP,France (Total)
GRC,Greece
GBR_NIR,Northern Ireland
GBR_NP,United Kingdom
GBR_SCO,Scotland
GBRCENW,England & Wales (Civilian)
GBRTENW,England & Wales (Total)
HUN,Hungary
